file_name,camera,image_path,overlay_path,label_path,crop_left,crop_top,suggested_bbox_xywh,component_bbox_xywh,component_angle_degrees,component_trust_score,label_written,review_code,review_note
cam-1_ts1763100100504.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1763100100504.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1763100100504.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1763100100504.txt,501,430,"720,471,533,271","789,506,395,201",5.36,0.2507,0,1,
cam-1_ts1763537698834.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1763537698834.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1763537698834.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1763537698834.txt,510,430,"229,510,48,55","248,517,10,41",88.26,0.2427,0,0,"The red box is not on a crack. It falls on the boundary between a bright band and a dark region, which appears to be a frequent false-positive pattern."
cam-1_ts1764047728221.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764047728221.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764047728221.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764047728221.txt,870,430,"1792,1078,73,69","1801,1087,54,51",43.1,0.2653,0,1,
cam-1_ts1764053430927.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764053430927.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764053430927.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764053430927.txt,1248,430,"2121,523,99,108","2134,537,73,80",47.91,0.396,0,1,
cam-1_ts1764224266953.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764224266953.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764224266953.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764224266953.txt,678,430,"1102,578,331,68","1145,587,245,50",11.33,0.1019,0,0,"The red box is not on a crack. It is on a raised roller feature captured from the production line, which appears to be a frequent false-positive pattern."
cam-1_ts1764224425871.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764224425871.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764224425871.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764224425871.txt,644,430,"1343,514,279,126","1379,530,207,93",1.79,0.1772,0,1,
cam-1_ts1764224470111.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764224470111.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764224470111.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764224470111.txt,742,430,"1674,486,378,155","1723,506,280,115",22.87,0.2509,0,1,
cam-1_ts1764384231776.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764384231776.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764384231776.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764384231776.txt,692,430,"1399,554,284,90","1436,565,210,67",17.18,0.1502,0,1,
cam-1_ts1764697131292.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764697131292.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764697131292.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764697131292.txt,1248,430,"1998,486,48,155","2005,506,34,115",78.68,0.6773,1,1,
cam-1_ts1764752554227.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764752554227.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764752554227.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764752554227.txt,1082,430,"1616,484,134,165","1633,506,99,122",81.05,0.7936,1,1,
cam-1_ts1764776888130.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764776888130.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764776888130.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764776888130.txt,1156,430,"1725,485,62,161","1733,506,46,119",71.18,0.6858,1,1,
cam-1_ts1764986893054.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1764986893054.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1764986893054.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1764986893054.txt,706,430,"1282,581,48,54","1297,588,17,40",78.25,0.4141,0,0,"The red box is not on a crack. It is on a raised roller feature captured from the production line, which appears to be a frequent false-positive pattern."
cam-1_ts1765306172157.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1765306172157.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1765306172157.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1765306172157.txt,651,430,"1010,1098,101,61","1023,1106,75,45",39.19,0.2639,0,0,"The red box is not on a crack. It is on a raised roller feature captured from the production line, which appears to be a frequent false-positive pattern."
cam-1_ts1766111695093.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1766111695093.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1766111695093.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1766111695093.txt,682,430,"1447,586,53,50","1454,593,39,37",45.2,0.3077,0,1,
cam-1_ts1766113975499.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1766113975499.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1766113975499.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1766113975499.txt,1248,430,"2252,487,62,146","2260,506,46,108",70.32,0.573,1,1,
cam-1_ts1766114079525.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1766114079525.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1766114079525.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1766114079525.txt,0,430,"498,1010,80,166","508,1032,59,123",71.8,0.7176,1,1,
cam-1_ts1766151967130.jpg,cam-1,E:\defect\annotation_batch_glass_defect_v1\images\cam-1_ts1766151967130.jpg,E:\defect\annotation_batch_glass_defect_v1\overlays\cam-1_ts1766151967130.jpg,E:\defect\annotation_batch_glass_defect_v1\labels\cam-1_ts1766151967130.txt,782,430,"1358,580,48,50","1371,586,21,37",78.0,0.4102,0,2,"The red box is not on a crack. It is on a raised roller feature captured from the production line, which appears to be a frequent false-positive pattern."
